FID,GEONAME,GENERIC,X,Y
1778,Cornwall Lake,Lake,-110.599166699999,59.5986110999999
1779,Cornwall Lake 224,Indian Reserve,-110.5916667,59.6013889
1780,Corona Creek,Creek,-116.551944399999,52.0041666999999
1781,Corona Ridge,Ridge,-116.5705556,51.9344443999999
1782,Coronach Creek,Creek,-117.984999999999,53.1974999999999
1783,Coronach Mountain,Mountain,-118.0663889,53.2383334
1784,Coronado,Locality,-113.295277799999,53.8877778
1785,Coronation,Town,-111.447777799999,52.0947223
1786,Coronation Boundary Marker Provincial Historic Site (Undeveloped),Provincial Historic Site,-111.433329999999,51.966667
1787,Coronation Mountain,Mountain,-116.9086111,51.8061111
1788,Coronet Additional Industrial,Urban Community,-113.45,53.5027779999999
1789,Coronet Creek,Creek,-117.4330556,52.5963889
1790,Coronet Glacier,Glacier,-117.376944399999,52.5219444
1791,Coronet Industrial,Urban Community,-113.47722,53.4922219999999
1792,Coronet Mountain,Mountain,-117.376388899999,52.5152778
1793,Corral Creek,Creek,-117.125833299999,53.4838888999999
1794,Corral Creek,Creek,-114.3983333,50.2661111
1795,Corral Creek,Creek,-118.0894444,53.0719445
1796,Corral Creek,Creek,-116.142499999999,51.3988889
1797,Corral Creek,Creek,-119.297499999999,53.7880554999999
1798,Corrigall Lake,Lake,-112.658333299999,55.2280555
1799,Cory Pass,Pass,-115.6772222,51.2044444
1800,Corydalis Creek,Creek,-119.3238889,53.9622221999999
1801,Cosmo,Locality,-114.7936111,53.9441666
1802,Cosway,Locality,-113.4819444,51.5213888999999
1803,Cottage Lake,Lake,-114.176944399999,53.5111111
1804,Cotton Creek,Creek,-111.819444399999,53.6833333
1805,Cotton Lake,Lake,-110.708611099999,52.6352777999999
1806,Cottonwood Creek,Creek,-110.6086111,56.0794444
1807,Cottonwood Creek,Creek,-118.062222199999,52.8980555999999
1808,Cottonwood Creek,Creek,-113.8477778,49.1361111
1809,Cottonwood Grove,Grove,-110.693055599999,50.3336110999999
1810,Cottonwood Slough,Slough,-118.0916667,52.8938889
1811,Cougar Creek,Creek,-114.8566667,50.7252778
1812,Cougar Mountain,Mountain,-114.8988889,50.6736111
1813,Countess,Locality,-112.2811111,50.7816667
1814,Country Hills,Urban Community,-114.098609999999,51.063889
1815,Country Hills Village,Urban Community,-114.06528,51.1583329999999
1816,County of Athabasca No. 12,Municipal District,-113.054444399999,54.7327778
1817,County of Barrhead No. 11,Municipal District,-114.5255556,54.1522221999999
1818,County of Forty Mile No. 8,Municipal District,-111.171388899999,49.523611
1819,County of Grande Prairie No. 1,Municipal District,-119.1527777,55.2724999
1820,County of Minburn No. 27,Municipal District,-111.648611099999,53.4105556
1821,County of Newell No. 4,Municipal District,-111.943055999999,50.615833
1822,County of Paintearth No. 18,Municipal District,-111.694444399999,52.2161110999999
1823,County of St. Paul No. 19,Municipal District,-111.3161111,53.9330556
1824,County of Stettler No. 6,Municipal District,-112.6488889,52.2444443999999
1825,County of Two Hills No. 21,Municipal District,-111.525278,53.715833
1826,County of Vermilion River,Municipal County,-110.532777699999,53.3952777
1827,County of Warner No. 5,Municipal District,-112.111944399999,49.2761111
1828,County of Wetaskiwin No. 10,Municipal District,-114.065833299999,52.9474999999999
1829,Cousins,Locality,-110.6277778,52.2313888999999
1830,Cousins,Locality,-110.7186111,50.0569445
1831,Coutts,Village,-111.9588889,49.0027777999999
1832,Coutts River,River,-114.498333299999,54.8805556
1833,Coventry Hills,Urban Community,-114.03333,51.173611
1834,Cow Creek,Creek,-114.125555599999,49.6147222
1835,Cow Creek,Creek,-115.091388899999,52.3577778
1836,Cow Juicer Creek,Creek,-114.3922222,49.9208332999999
1837,Cow Juicer Pass,Pass,-114.348611099999,49.9444444
1838,Cow Lake,Lake,-111.655,55.2224999999999
1839,Cow Lake,Lake,-115.0141667,52.2705556
1840,Cow Moose Lake,Lake,-113.7880556,54.9041666
1841,Cowley,Village,-114.074999899999,49.571111
1842,Cowlick Creek,Creek,-119.0430556,53.8369444
1843,Cowoki Lake,Lake,-111.7061111,50.5861110999999
1844,Cowper Creek,Creek,-110.500833299999,56.0041666999999
1845,Cowper Lake,Lake,-110.444166699999,55.8972222
1846,Cowper Lake 194A,Indian Reserve,-110.464713599999,55.9177295
1847,Cox Hill,Hill,-114.9008333,50.9913888999999
1848,Coxhill Creek,Creek,-114.812222199999,51.0333333
1849,Coyote Creek,Creek,-114.666111099999,53.9283332999999
1850,Coyote Creek,Creek,-114.229166699999,49.8491665999999
1851,Coyote Hill,Hill,-111.062222199999,52.8330555
1852,Coyote Lake,Lake,-112.0941667,51.3747222
1853,Craddock,Locality,-112.449722199999,49.4647221999999
1854,Craig Creek,Creek,-113.8488889,49.8808332999999
1855,Craig Lake,Lake,-111.5761111,51.9347222
1856,Craigdhu,Locality,-113.5255556,51.2872222
1857,Craigend,Former Post Office,-111.933329999999,54.583333
1858,Craigmillar,Locality,-110.909444399999,52.3094443999999
1859,Craigmyle,Hamlet,-112.2430556,51.6697222
1860,Crammond,Locality,-114.6691667,52.0286110999999
1861,Cranberry Creek,Creek,-114.9297222,52.7897223
1862,Cranberry Lake,Lake,-111.5888889,57.5863889
1863,Cranberry Lake,Lake,-115.0775,56.2347222
1864,Cranberry Lake,Lake,-114.805,52.8008333
1865,Crandell Lake,Lake,-113.9669444,49.0866667
1866,Crane Island,Island,-112.849999999999,53.6724999999999
1867,Crane Lake,Lake,-114.207499999999,54.5238889
1868,Crane Lake,Lake,-112.004166699999,59.2233333
1869,Crane Lake,Lake,-110.523611099999,54.5183333
1870,Cranes Lake,Lake,-114.272499999999,53.9872221999999
1871,Cranford,Locality,-112.349999999999,49.7583332999999
1872,Craven Lake,Lake,-117.6091667,56.4208333999999
1873,Crawford Creek,Creek,-116.1369444,55.1380556
1874,Crawford Plains,Urban Community,-113.405559999999,53.438889
1875,Crawford Plateau,Plateau,-114.5791667,51.1763888999999
1876,Crawling Creek,Creek,-112.2583333,51.2269444
1877,Crawling Valley,Valley,-112.318055599999,51.0813889
1878,Crazy Lake,Lake,-111.0583333,56.3394443999999
1879,Crazy Man Creek,Creek,-116.9077778,55.3561111
1880,Cree Creek,Creek,-110.848055599999,56.6655555
1881,Creekland,Locality,-114.442499999999,53.3091666999999
1882,Creighton Lake,Lake,-119.419722199999,59.9463889
1883,Cremona,Village,-114.492499899999,51.5455554999999
1884,Crescent Creek,Creek,-118.275277799999,52.8147221999999
1885,Crescent Creek,Creek,-118.466669999999,53.6
1886,Crescent Creek,Creek,-115.650277799999,52.1511111
1887,Crescent Falls,Falls,-116.354166699999,52.3872222999999
1888,Crescent Heights,Urban Community,-114.049999999999,51.0499999999999
1889,Crescent Lake,Lake,-113.776111099999,50.1708332999999
1890,Cressday,Locality,-110.2558333,49.2458333
1891,Crestomere,Locality,-113.916666699999,52.6680556
1892,Crestomere Lake,Lake,-113.9236111,52.6738889
1893,Crestwood,Urban Community,-110.65,50.0222219999999
1894,Crestwood,Urban Community,-113.56667,53.5333329999999
1895,Crimson Lake,Lake,-115.036666699999,52.4586110999999
1896,Crimson Lake,Locality,-115.0286111,52.4477777
1897,Crimson Lake Provincial Park,Provincial Park,-115.0455556,52.4658334
1898,Cripple Creek,Creek,-113.8391667,49.9711111
1899,Cripple Creek,Creek,-110.3863889,49.1955555999999
1900,Cripple Creek,Creek,-115.883611099999,52.2580554999999
1901,Crippsdale,Locality,-113.1513889,54.1088888999999
1902,Crocodile Lake,Lake,-113.8063889,50.0669443999999
1903,Croker Lakes,Lakes,-116.6152778,55.3033332999999
1904,Cromdale,Urban Community,-113.466669999999,53.566667
1905,Cronkhite Coulee,Coulee,-110.859722199999,49.4580556
1906,Crooked Creek,Creek,-114.4227778,52.0522222
1907,Crooked Creek,Creek,-113.8352778,49.1163888999999
1908,Crooked Creek,Hamlet,-117.889722199999,55.1708333999999
1909,Crooked Creek,Creek,-116.287499999999,52.3213889
1910,Crooked Creek,Creek,-116.654722199999,52.9816666999999
1911,Crooked Lake,Lake,-110.238333299999,57.4988888999999
1912,Crooked Lake,Lake,-111.724999999999,57.5863889
1913,Crooked Lake,Lake,-113.545277799999,54.9163889
1914,Crooked Lake,Lake,-117.244166699999,54.4461111
1915,Crooked Rapids,Rapids,-111.863055599999,56.5994444
1916,Crooked River,River,-113.2041667,55.7805554999999
1917,Crookedheel Creek,Creek,-111.043888899999,53.9430555
1918,Cross Creek,Creek,-114.0583333,50.3433332999999
1919,Cross Lake,Lake,-111.717777799999,54.5197222999999
1920,Cross Lake Provincial Park,Provincial Park,-113.7944444,54.6530555
1921,Crosscut Lake,Lake,-112.2563889,54.6805555999999
1922,Crossfield,Town,-114.030833299999,51.4305555999999
1923,Crossfield Creek,Creek,-113.587222199999,51.335
1924,Crossing Lake,Lake,-110.9788889,52.8063889
1925,Crow Indian Lake,Lake,-111.7841667,49.3697221999999
1926,Crow Lake,Lake,-112.150277799999,55.7997221999999
1927,Crow Lake Provincial Park,Provincial Park,-112.145833199999,55.7991666
1928,Crowchild,Locality,-114.2352778,50.9513888999999
1929,Crowell,Railway Point,-116.976666699999,55.8222221999999
1930,Crowfoot,Locality,-112.649444399999,50.8186110999999
1931,Crowfoot Creek,Creek,-112.6630556,50.8025
1932,Crowfoot Glacier,Glacier,-116.4386111,51.6375
1933,Crowfoot Mountain,Mountain,-116.4544444,51.6430555
1934,Crowlodge Creek,Creek,-113.6266667,49.6383334
1935,Crown Creek,Creek,-110.500833299999,58.6269443999999
1936,Crowsnest,Locality,-114.692499999999,49.6305559999999
1937,Crowsnest Creek,Creek,-114.6705556,49.63
1938,Crowsnest Lake,Lake,-114.637777799999,49.6327778
1939,Crowsnest Mountain,Mountain,-114.5738889,49.7036111
1940,Crowsnest Pass,Town,-114.5083333,49.5888889
1941,Crowsnest Pass,Pass,-114.6752778,49.6280556
1942,Crowsnest Ridge,Ridge,-114.658888899999,49.6363889
1943,Crowsnest River,River,-114.0491667,49.5997222
1944,Crude Hill,Hill,-111.033333299999,52.6833334
1945,Crummy Lake,Lake,-117.206944399999,57.1730554999999
1946,Crypt Falls,Falls,-113.8416667,49.0055556
1947,Crypt Lake,Lake,-113.8411111,49.0013889
1948,Crystal Lake,Lake,-111.4341667,53.35
1949,Crystal Lake,Lake,-118.7677778,55.1913889
1950,Crystal Springs,Summer Village,-114.036944399999,52.9758333999999
1951,Cub Lakes,Lakes,-118.0636111,56.8519444
1952,Cucumber Creek,Creek,-111.9775,53.9105555
1953,Cucumber Lake,Lake,-112.098055599999,53.8947221999999
1954,Cullen Creek,Creek,-114.2780556,51.0258333
1955,Culp,Locality,-117.5461111,55.7522221999999
1956,Cummings Creek,Creek,-114.655,50.2658332999999
1957,Curator Lake,Lake,-117.8638889,52.7924999999999
1958,Curator Mountain,Mountain,-117.8477778,52.7769444999999
1959,Curia Mountain,Mountain,-118.3383333,52.7958332999999
1960,Curlew,Locality,-113.4536111,51.8080556
1961,Curly Hill,Hill,-111.142499999999,52.7383333
1962,Currant Island,Island,-111.946666699999,54.8577777
1963,Currant Lake,Lake,-110.396666699999,51.8416666
1964,Currie Creek,Creek,-115.4577778,50.8311111
1965,Currie Lake,Lake,-110.741666699999,58.0547222
1966,Curtis Lake,Lake,-113.4044444,49.0758332999999
1967,Cushing Lake,Lake,-110.435277799999,54.0619445
1968,Cut Bank,Point,-115.9,55.5166669999999
1969,Cut Bank Lake,Lake,-113.514722199999,53.6819443999999
1970,Cut-Off Coulee,Coulee,-112.3302778,51.5677778
1971,Cutbank Creek,Creek,-110.0725,49
1972,Cutbank Creek,Creek,-113.884166699999,53.3425
1973,Cutbank Lake,Lake,-119.759722199999,55.7191667
1974,Cutbank Lake,Lake,-112.3208333,52.0561111
1975,Cutbank Lake,Lake,-119.124722199999,55.2591666
1976,Cutbank River,River,-118.5380556,54.7069444999999
1977,Cuthead Creek,Creek,-115.6805556,51.3997223
1978,Cuthead Lake,Lake,-115.751944399999,51.4491666999999
1979,Cutoff Creek,Creek,-115.4825,52.0024999999999
1980,Cutoff Creek,Creek,-116.366944399999,52.6188889
1981,Cutpick Hill,Hill,-119.165,54.0777778
1982,Cutt Lake,Lake,-118.3302778,52.9002777999999
1983,Cutthroat Creek,Creek,-114.4897222,50.4783333
1984,Cutting Lake,Lake,-111.953888899999,50.6186111
1985,Cyclamen Ridge,Ridge,-114.5688889,50.0738889
1986,Cyclone Mountain,Mountain,-116.071111099999,51.5688888999999
1987,Cygnet,Locality,-113.956944399999,52.2644445
1988,Cygnet Lake,Lake,-114.0172222,52.2847221999999
1989,Cynthia,Hamlet,-115.4227778,53.2827777999999
1990,Cypress County,Municipal District,-110.680833,49.873055
1991,Cypress Hills,Hills,-110.1333333,49.5666666999999
1992,Cypress Hills Interprovincial Park,Provincial Park,-110.2083333,49.6333332999999
1993,Cypress Point,Point,-110.1777778,59.2044445
1994,Czar,Village,-110.828333299999,52.4547221999999
1995,D.D.'s Creek,Creek,-110.1302778,56.7119444
1996,Dabbs Lake,Lake,-111.474999999999,54.7661111
1997,Dagmar Lake,Lake,-111.4369444,58.4444444
1998,Daigle Lake,Lake,-114.028888899999,49.3922221999999
1999,Dais Mountain,Mountain,-117.640833299999,52.2763889
2000,Daisy Creek,Creek,-114.416669999999,49.85
2001,Dakin Lake,Lake,-112.5697222,54.7758333
2002,Dalehurst,Locality,-117.3266667,53.5222222
2003,Dalemead,Locality,-113.6375,50.8747223
2004,Dalemead Lake,Lake,-113.628055599999,50.9191666999999
2005,Dalhousie,Urban Community,-114.15,51.1
2006,Dalkin Island,Island,-111.4577778,57.6363889
2007,Dalmuir,Locality,-112.9519444,53.9961111
2008,Dalroy,Locality,-113.6691667,51.1286111
2009,Dalum,Locality,-112.6308333,51.2997221999999
2010,Daly Grove,Urban Community,-113.39722,53.448611
2011,Daly Lake,Lake,-110.8391667,59.6222222
2012,Damon Creek,Creek,-114.141388899999,49.9016667
2013,Dancing Lake,Lake,-113.920277799999,54.9986111999999
2014,Daniel Creek,Creek,-119.3013889,54.25
2015,Daniels Flats,Flats,-119.0513889,54.0236110999999
2016,Danube,Locality,-113.0755556,54.3847221999999
2017,Daphne Island,Island,-111.6613889,57.2791666999999
2018,Dapp,Locality,-113.9158333,54.3449999999999
2019,Dapp Creek,Creek,-113.989444399999,54.3519445
2020,Dardanelles,Channel,-113.8508333,49.0847222
2021,Darling Creek,Creek,-114.694166699999,57.2502777999999
2022,Darnell Lake,Lake,-114.7191667,51.0772222
2023,Darnell Ridge,Ridge,-114.7130556,51.0997222
2024,Darwell,Hamlet,-114.592222199999,53.6705556
2025,Darwin Lake,Lake,-111.0258333,59.3080555
2026,Davey Creek,Creek,-119.2216667,53.8122222
2027,Davey Lake,Lake,-113.7619444,51.9377776999999
2028,David Creek,Creek,-118.352777799999,53.9702777999999
2029,David Lake,Lake,-110.6111111,52.5808333
2030,David Thompson Creek,Creek,-116.7942,51.8461
2031,David Thompson Lake,Lake,-116.830299999999,51.8483
2032,Davidson Lake,Lake,-117.3869444,55.3688888
2033,Davidson Lake,Lake,-113.241111099999,58.9488889
2034,Davies Industrial East,Urban Community,-113.429169999999,53.508333
2035,Davies Industrial West,Urban Community,-113.45139,53.497222
2036,Davis Bottom,Bottom,-112.8658333,49.7436111
2037,Davy Coulee,Coulee,-112.858888899999,49.8738888999999
2038,Dawes Lake,Lake,-111.9061111,56.3305555999999
2039,Dawson Lake,Lake,-110.4566667,59.8713888999999
2040,Dawson Lake,Lake,-113.394444399999,51.1347221999999
2041,Dawson's Hill,Hill,-114.095555599999,51.8122222
2042,Day Lake,Lake,-110.080555599999,54.1527778
2043,Daybreak Peak,Peak,-118.4133333,53.4452778
2044,Daysland,Town,-112.254999999999,52.8641665999999
2045,De Manville Lake,Lake,-110.2061111,59.3888888999999
2046,De Smet Range,Range,-118.1525,53.1608333
2047,De Winton,Hamlet,-114.0186111,50.8230555
2048,DeBolt,Hamlet,-118.0202778,55.2216667
2049,DeBolt Creek,Creek,-118.042222199999,55.1613888999999
2050,Dead Bull Lake,Lake,-112.289444399999,51.8963888999999
2051,Dead Calf Lake,Lake,-113.215277799999,56.7866665999999
2052,Dead Horse Meadows,Meadows,-119.9133333,54.1388888999999
2053,Dead Man Flat,Flat,-115.273611099999,51.0402776999999
2054,Dead Man's Flats,Locality,-115.263888899999,51.0399999999999
2055,Deadfish Creek,Creek,-111.7572222,50.9772222
2056,Deadhorse Creek,Creek,-112.6463889,51.0744444999999
2057,Deadhorse Lake,Lake,-112.666666699999,51.0649999999999
2058,Deadlodge Canyon,Canyon,-111.473611099999,50.7775
2059,Deadman Creek,Creek,-112.5833333,56.2952777
2060,Deadman Gulch,Gulch,-110.6833333,50.4833332999999
2061,Deadman Lake,Lake,-114.012777799999,53.8655554999999
2062,Deadman Pass,Pass,-114.660555599999,49.7058333
2063,Deadman's Lake,Lake,-110.5141667,52.2416667
2064,Deadrick Creek,Creek,-114.041666699999,51.6544444
2065,Deadwood,Locality,-117.4577778,56.7411110999999
2066,Dean Pass,Pass,-117.036109999999,52.6583329999999
2067,Death River,River,-110.966388899999,53.8386111
2068,Death Valley Creek,Creek,-114.5233333,50.7119444
2069,Deception Creek,Creek,-117.360833299999,52.8294444
2070,Deception Mountain,Mountain,-117.397499999999,52.8691667
2071,Deception Pass,Pass,-116.0616667,51.4963888999999
2072,Dechaine Lake,Lake,-114.1013889,53.8430556
2073,Decoigne,Locality,-118.372777799999,52.8841667
2074,Decrene,Locality,-114.1752778,55.2047221999999
2075,Deep Creek,Creek,-113.1344444,54.8927777999999
2076,Deep Creek,Creek,-114.4702778,50.4233333
2077,Deep Creek,Creek,-114.416669999999,50.0333329999999
2078,Deep Creek,Locality,-113.2083333,54.9555555999999
2079,Deep Creek,Creek,-115.1855556,53.6627778
2080,Deep Creek,Creek,-115.8355556,52.4188888999999
2081,Deep Creek,Creek,-116.956388899999,55.3405556
2082,Deep Lake,Lake,-114.281388899999,54.6769444999999
2083,Deep Lake,Lake,-119.021944399999,56.7030555999999
2084,Deep Lake,Lake,-119.0797222,55.2486110999999
2085,Deep Valley Creek,Creek,-117.7366667,54.5574999999999
2086,Deer Creek,Creek,-110.4938889,53.49
2087,Deer Creek,Creek,-111.3833333,49.1
2088,Deer Creek,Creek,-118.7052778,53.5019445
2089,Deer Creek,Creek,-118.4566667,53.3599999999999
2090,Deer Creek Flats,Flats,-115.122777799999,51.6563889
2091,Deer Hill,Locality,-118.3461111,56.2844444999999
2092,Deer Lake,Lake,-113.7161111,49.0033334
2093,Deer Mountain,Mountain,-115.159444399999,54.9122222
2094,Deer Ridge,Urban Community,-113.65,53.6527779999999
2095,Deer Ridge,Urban Community,-114.01667,50.9166669999999
2096,Deer Run,Urban Community,-114,50.9166669999999
2097,Deerland,Locality,-112.8522222,53.8955555
2098,Deerlick Creek,Creek,-117.249722199999,53.1580555
2099,Del Bonita,Locality,-112.7905556,49.0294444
2100,Delacour,Locality,-113.7733333,51.1516667
2101,Delaney,Railway Point,-113.7047222,52.3538889
2102,Delburne,Village,-113.234722199999,52.1980555
2103,Delburne Lakes,Lakes,-113.219999999999,52.2108332999999
2104,Delia,Village,-112.373888899999,51.6305556
2105,Delmas Coulee,Coulee,-110.2672222,49.5472222
2106,Delorme Creek,Creek,-119.224444399999,53.8097222999999
2107,Delorme Lake,Lake,-114.3488889,55.0874999999999
2108,Delorme Pass,Pass,-119.2144444,53.7166666999999
2109,Delph,Locality,-112.679444399999,54.0075
2110,Delphinium Creek,Creek,-117.786944399999,53.0216666999999
2111,Delta Creek,Creek,-116.5363889,51.7494444
2112,Delta Glacier,Glacier,-116.579999999999,51.7155555
2113,Delta Lake,Lake,-115.5136111,53.7213889
2114,Deltaform Mountain,Mountain,-116.2455556,51.3019443999999
2115,Delton,Urban Community,-113.466669999999,53.566667
2116,Delusion Lakes,Lakes,-111.2222222,52.7930556
2117,Delwood,Urban Community,-113.433329999999,53.6
2118,Demay,Locality,-112.758611099999,53.1261111
2119,Demay Lake,Lake,-112.6988889,53.1202777999999
2120,Demicharge Rapids,Rapids,-111.415,59.3244443999999
2121,Demmitt,Locality,-119.896666699999,55.4555555
2122,Dempsey Creek,Creek,-111.306111099999,58.9541667
2123,Dempster Coulee,Coulee,-110.4625,49.6672221999999
2124,Denard,Railway Point,-118.9763889,53.9258333
2125,Denhart,Locality,-111.3902778,50.6788888999999
2126,Denning Lake,Lake,-111.4455556,54.2147221999999
2127,Dennis,Locality,-111.0744444,50.1852778
2128,Dent Lake,Lake,-111.4247222,51.9105556
2129,Denwood,Post Office,-110.894444399999,52.8197222
2130,Deome Creek,Creek,-118.504166699999,54.0180555
2131,Derr Creek,Creek,-118.3802778,52.8852777999999
2132,Derwent,Hamlet,-110.966667,53.6499999999999
2133,Deserters Creek,Creek,-115.1386111,52.6622222
2134,Desjarlais,Locality,-112.0294444,53.9077777999999
2135,Desmaw Lake,Lake,-111.978611099999,54.505
2136,Desolation Creek,Creek,-119.296388899999,53.5569443999999
2137,Devenish,Locality,-111.1938889,55.5338889
2138,Devil Creek,Creek,-116.264722199999,55.2727778
2139,Devil Lake,Lake,-116.7897222,58.3733332999999
2140,Devil Rapids,Rapids,-113.606388899999,55.8997221999999
2141,Devil's Bite,Gap,-114.4277778,50.3141666
2142,Devil's Gate 220,Indian Reserve,-111.2166667,58.8083333
2143,Deville,Locality,-112.912499999999,53.4483333
2144,Devils Elbow,Elbow,-111.2036111,58.4447222
2145,Devils Gap,Gap,-115.173333299999,51.2811110999999
2146,Devils Head,Mountain,-115.2652778,51.3447222
2147,Devils Thumb,Mountain,-116.252499999999,51.4105555
2148,Devon,Town,-113.722499999999,53.3622222999999
2149,Devon Lakes,Lakes,-116.2516667,51.7302778
2150,Devon Mountain,Mountain,-116.2572222,51.7136111
2151,Devona,Locality,-118,53.1499999999999
2152,Devona Flats,Flats,-118.0022222,53.1574999999999
2153,Devonia Lake,Lake,-110.139722199999,53.2397222
2154,Devonshire Beach,Beach,-114.748888899999,55.3374999999999
2155,Dewberry,Hamlet,-110.525,53.5880555
2156,Dewdrop Lake,Lake,-112.3544444,51.7713888999999
2157,Diadem Creek,Creek,-117.347499999999,52.3549999999999
2158,Diadem Peak,Peak,-117.420833299999,52.3105556
2159,Diamond City,Hamlet,-112.8388889,49.7955556
2160,Diamond Cove,Urban Community,-114.02361,50.945833
2161,Diamond Dick Creek,Creek,-119.644444399999,55.0811111
2162,Dianne Lakes,Lakes,-111.6033333,57.9066667
2163,Diaper Lake,Lake,-113.3505556,56.4386111
2164,Diaper Lakes,Lakes,-113.5816667,57.5138888999999
2165,Dick Lake,Lake,-114.08333,52.7666669999999
2166,Dickins Lake,Lake,-119.9375,59.6969445
2167,Dickinson Creek,Creek,-111.483333299999,49.0583333
2168,Dickson,Hamlet,-114.3080556,52.0566667
2169,Dickson Coul̩e,Coul̩e,-114.4391667,50.3633334
2170,Dickson Creek,Creek,-114.152777799999,52.1033333
2171,Dickson Lake,Lake,-119.8680556,55.5158332999999
2172,Didsbury,Town,-114.1375,51.6594443999999
2173,Dillberry Lake,Lake,-110.009166699999,52.5769445
2174,Dillberry Lake Provincial Park,Provincial Park,-110.033333299999,52.5666666999999
2175,Dillon River,River,-110,55.7269445
2176,Dimsdale,Locality,-118.989999999999,55.1438889
2177,Dimsdale Lake,Lake,-119.0027778,55.1525
2178,Dina,Locality,-110.0875,52.9311111
2179,Dinant,Locality,-112.816666699999,53.1333332999999
2180,Dinner Lake,Lake,-110.7019444,56.2844444999999
2181,Dinosaur,Railway Point,-112.720833299999,51.5616667
2182,Dinosaur Creek,Creek,-119.933329999999,54.366667
2183,Dinosaur Hill,Hill,-118.509722199999,55.2594444
2184,Dinosaur Provincial Park,World Heritage Site,-111.5,50.7833329999999
2185,Dinosaur Provincial Park,Provincial Park,-111.484999999999,50.7616665999999
2186,Dinosaur Ridge,Ridge,-119.9877778,54.3166665999999
2187,Dion Lake,Lake,-110.619166699999,53.9852777999999
2188,Dip Creek,Creek,-112.0936111,51.1291666999999
2189,Dip Slope Mountain,Mountain,-116.13333,51.716667
2190,Dipping Vat Lake,Lake,-113.614444399999,49.2844444999999
2191,Dirtywater Lake,Lake,-114.25,50.25
2192,Disappointment Lake,Lake,-110.7780556,59.4186111
2193,Disaster Point,Point,-117.9738889,53.1669443999999
2194,Discovery Ridge,Urban Community,-114.19583,51.031944
2195,Dishpan Lake,Lake,-110.551666699999,50.5886111
2196,Dismal Creek,Creek,-115.571111099999,53.0944444
2197,Diss,Locality,-116.9163889,53.1286111
2198,Divergence Creek,Creek,-118.058888899999,52.5730556
2199,Divergence Peak,Peak,-117.9902778,52.5008332999999
2200,Divide Creek,Creek,-115.8391667,51.6711110999999
2201,Divide Mountain,Mountain,-116.2827778,51.4069444
2202,Divide Pass,Pass,-115.9305556,51.7511111
2203,Division Mountain,Mountain,-117.008611099999,51.8891666
2204,Dixon Lake,Lake,-110.748333299999,52.5919444999999
2205,Dixonville,Hamlet,-117.670833299999,56.5372222
2206,Dizzy Creek,Creek,-117.1508333,59.6172222
2207,Dizzy Creek,Creek,-115.8391667,52.4172221999999
2208,Doan,Locality,-114.0527778,51.9705555999999
2209,Doctor Creek,Creek,-118.060833299999,53.5116665999999
2210,Dodds,Locality,-112.541111099999,53.2305555
2211,Dodds Lake,Lake,-113.955555599999,52.0344444999999
2212,Dodgson Lake,Lake,-114.738333299999,54.0883334
2213,Doe Creek,Creek,-119.893888899999,55.9958333
2214,Dog Creek,Creek,-116.099999999999,52.483333
2215,Dog Eating Prairie,Flat,-117.2308333,54.8074999999999
2216,Dog Head,Head,-111.202222199999,58.7061111
2217,Dog Head 218,Indian Reserve,-111.181865999999,58.711013
2218,Dog Island,Island,-114.8202778,55.3275
2219,Dog Lake,Lake,-113.525,57.5041666999999
2220,Dog River,River,-111.5697222,59.8708333
2221,Dog Rump Creek,Creek,-110.916666699999,53.8616667
2222,Dogpound,Locality,-114.3972222,51.4566665999999
2223,Dogpound Creek,Creek,-114.3602778,51.8208332999999
2224,Dogrib Creek,Creek,-115.4597222,51.6124999999999
2225,Doig River,River,-120.0011111,56.9455555999999
2226,Dolberg Lake,Lake,-115.054444399999,54.1577777999999
2227,Dolcy Lake,Lake,-110.4694444,52.6494444
2228,Dollar Lakes,Lakes,-117.2047222,55.3163889
2229,Dolly Lakes,Lakes,-118.6122222,53.3058333
2230,Dolo Lake,Lake,-111.1394444,53.9480556
2231,Dolomite Creek,Creek,-116.413611,51.8233329999999
2232,Dolomite Pass,Pass,-116.3838889,51.6963889
2233,Dolomite Peak,Peak,-116.3725,51.6758333
2234,Dome Glacier,Glacier,-117.2836111,52.2091666999999
2235,Dominion Industrial,Urban Community,-113.554169999999,53.575
2236,Dominion Prairie,Prairie,-118.415277799999,52.8852777999999
2237,Donald Creek,Creek,-111.408055599999,56.8283332999999
2238,Donald Flats,Flats,-118.123888899999,53.7963888999999
2239,Donald Flats,Trail,-118.236944199999,53.7147221
2240,Donald Lake,Lake,-118.0863889,53.9863889
2241,Donald Lake,Lake,-115.9305556,51.4827778
2242,Donalda,Village,-112.5741667,52.5836110999999
2243,Donaldson Lake,Lake,-116.2366667,57.6838888999999
2244,Donatville,Locality,-112.803611099999,54.7472222
2245,Donna Creek,Creek,-119.416111099999,59.5927778
2246,Donnelly,Village,-117.1047221,55.7288889
2247,Donnelly Creek,Creek,-114.9330556,54.8441667
2248,Donnelly Island,Island,-115.2469444,58.3458333
2249,Donovan Lake,Lake,-111.234999999999,59.9966666999999
2250,Door Jamb Mountain,Mountain,-115.1422222,51.0872221999999
2251,Dorenlee,Locality,-112.9402778,52.6988889
2252,Doris,Locality,-114.6647222,54.4366667
2253,Doris Creek,Creek,-114.5125,54.4805556
2254,Doris Island,Island,-110.5113889,54.5338889
